"Representative","State","Amount"
"James John (R-MI)","Michigan","$340573"
"Sinema Kyrsten (I-AZ)","Arizona","$340186"
"Cartwright Matt (D-PA)","Pennsylvania","$340134"
"Caraveo Yadira (D-CO)","Colorado","$338079"
"Heinrich Martin (D-NM)","New Mexico","$336176"
"Toomey Pat (R-PA)","Pennsylvania","$330245"
"Kuster Ann (D-NH)","New Hampshire","$329899"
"Crapo Mike (R-ID)","Idaho","$327673"
"Vargas Juan (D-CA)","California","$325952"
"Menendez Rob (D-NJ)","New Jersey","$325668"
"Schwartz Allyson (D-PA)","Pennsylvania","$323935"
"Bustos Cheri (D-IL)","Illinois","$323688"
"Portman Rob (R-OH)","Ohio","$323546"
"Gallagher Mike (R-WI)","Wisconsin","$322808"
"Wilson Joe (R-SC)","South Carolina","$322700"
"Maloney Carolyn (D-NY)","New York","$318245"
"Lipinski Daniel (D-IL)","Illinois","$317545"
"Suozzi Tom (D-NY)","New York","$312720"
"Boozman John (R-AR)","Arkansas","$309860"
"Gejdenson Sam (D-CT)","Connecticut","$308897"
"Roberts Pat (R-KS)","Kansas","$305700"
"Ryan Paul (R-WI)","Wisconsin","$305209"
"Gephardt Richard A (D)","","$302659"
"Nadler Jerrold (D-NY)","New York","$302098"
"Gardner Cory (R-CO)","Colorado","$300839"
"Hastert Dennis (R-IL)","Illinois","$296600"
"Panetta Jimmy (D-CA)","California","$295146"
"Strickland Marilyn (D-WA)","Washington","$293834"
"DeLay Tom (R-TX)","Texas","$292000"
"Harder Josh (D-CA)","California","$290282"
"Van Hollen Chris (D-MD)","Maryland","$288706"
"Schrier Kim (D-WA)","Washington","$288389"
"Lamborn Doug (R-CO)","Colorado","$286725"
"Moran Jerry (R-KS)","Kansas","$285985"
"LaTourette Steve (R-OH)","Ohio","$282625"
"Ryan Pat (D-NY)","New York","$279274"
"Ryan Tim (D-OH)","Ohio","$277788"
"Miller Max (R-OH)","Ohio","$277420"
"Udall Tom (D-NM)","New Mexico","$271798"
"Brownback Sam (R)","","$271745"
"Rogers Mike (R-MI)","Michigan","$271683"
"O'Rourke Beto (D)","","$269350"
"Krishnamoorthi Raja (D-IL)","Illinois","$268730"
"Smith Chris (R-NJ)","New Jersey","$267975"
"Deutsch Peter (D-FL)","Florida","$267167"
"Ackerman Gary (D-NY)","New York","$266734"
"Goldman Dan (D-NY)","New York","$265025"
"Talent James M (R-MO)","Missouri","$263423"
"Deluzio Christopher (D-PA)","Pennsylvania","$262072"
"Andrews Robert E (D-NJ)","New Jersey","$261483"
"Mucarsel-Powell Debbie (D-FL)","Florida","$261135"
"Crowley Joseph (D-NY)","New York","$260572"
"Schweikert David (R-AZ)","Arizona","$259027"
"Soto Darren (D-FL)","Florida","$258747"
"Knollenberg Joe (R-MI)","Michigan","$256357"
"Lieu Ted (D-CA)","California","$255682"
"Salinas Andrea (D-OR)","Oregon","$254052"
"Davis Artur (R-AL)","Alabama","$253415"
"Inhofe James M (R-OK)","Oklahoma","$253275"
"Malliotakis Nicole (R-NY)","New York","$250575"
"Bera Ami (D-CA)","California","$250573"
"Salazar Maria (R-FL)","Florida","$250081"
"Waltz Michael (R-FL)","Florida","$248618"
"Pallone Frank Jr (D-NJ)","New Jersey","$247363"
"Quigley Mike (D-IL)","Illinois","$246336"
"Perez Marie Gluesenkamp (D-WA)","Washington","$240949"
"Cuellar Henry (D-TX)","Texas","$240500"
"Cotton Tom (R-AR)","Arkansas","$237739"
"Reschenthaler Guy (R-PA)","Pennsylvania","$236819"
"Davids Sharice (D-KS)","Kansas","$236506"
"Dorgan Byron L (D-ND)","North Dakota","$236369"
"Bean Melissa (D-IL)","Illinois","$236249"
"Emanuel Rahm (D-IL)","Illinois","$235955"
"Allen George (R-VA)","Virginia","$235740"
"Burr Richard (R-NC)","North Carolina","$234336"
"Gimenez Carlos (R-FL)","Florida","$233687"
"Crenshaw Dan (R-TX)","Texas","$233395"
"Axne Cindy (D-IA)","Iowa","$232065"
"DeWine Mike (R-OH)","Ohio","$229813"
"Green Mark (R-TN)","Tennessee","$228719"
"Crow Jason (D-CO)","Colorado","$227609"
"Shaw E Clay Jr (R-FL)","Florida","$226713"
"Sykes Emilia (D-OH)","Ohio","$225971"
"Ross Deborah (D-NC)","North Carolina","$223737"
"Norcross Don (D-NJ)","New Jersey","$221855"
"McHenry Patrick (R-NC)","North Carolina","$221809"
"Gonzalez Vicente (D-TX)","Texas","$221431"
"Riggleman Denver (R-VA)","Virginia","$220338"
"Porter Katie (D-CA)","California","$219754"
"Kustoff David (R-TN)","Tennessee","$217178"
"Torricelli Robert G (D-NJ)","New Jersey","$215736"
"Ellsworth Brad (D-IN)","Indiana","$214159"
"Raskin Jamie (D-MD)","Maryland","$212979"
"Burton Dan (R-IN)","Indiana","$212128"
"Vitter David (R-LA)","Louisiana","$212055"
"Molinaro Marc (R-NY)","New York","$211455"
"Giffords Gabrielle (D-AZ)","Arizona","$211201"
"Turner Michael R (R-OH)","Ohio","$210963"
"Sorensen Eric (D-IL)","Illinois","$210332"
"Pascrell Bill Jr (D-NJ)","New Jersey","$210073"
"Khanna Ro (D-CA)","California","$209950"
"Horsford Steven (D-NV)","Nevada","$209539"
"Titus Dina (D-NV)","Nevada","$208972"
"Casten Sean (D-IL)","Illinois","$208532"
"Clyburn James E (D-SC)","South Carolina","$206800"
"Cheney Liz (R-WY)","Wyoming","$206743"
"Pence Mike (R)","","$206694"
"Joyce David P (R-OH)","Ohio","$205729"
"Budzinski Nikki (D-IL)","Illinois","$205064"
"Rose Max (D-NY)","New York","$204273"
"DelBene Suzan (D-WA)","Washington","$203994"
"Heller Dean (R-NV)","Nevada","$203992"
"Espaillat Adriano (D-NY)","New York","$202860"
"Fletcher Lizzie (D-TX)","Texas","$200102"
"Ruiz Raul (D-CA)","California","$198996"
"Curtis John (R-UT)","Utah","$198448"
"Obey David R (D-WI)","Wisconsin","$197750"
"Hudson Richard (R-NC)","North Carolina","$195466"
"Neguse Joseph (D-CO)","Colorado","$194910"
"Cherfilus-McCormick Sheila (D-FL)","Florida","$194793"
"Carper Tom (D-DE)","Delaware","$194270"
"Brownley Julia (D-CA)","California","$193978"
"Katko John (R-NY)","New York","$193054"
"Kinzinger Adam (R-IL)","Illinois","$192125"
"Gingrich Newt (R)","","$189813"
"Foxx Virginia (R-NC)","North Carolina","$186869"
"Lincoln Blanche (D-AR)","Arkansas","$185955"
"Swalwell Eric (D-CA)","California","$184845"
"Wexler Robert (D-FL)","Florida","$184600"
"Bunning Jim (R-KY)","Kentucky","$183060"
"Tenney Claudia (R-NY)","New York","$182655"
"Sherrill Mikie (D-NJ)","New Jersey","$181913"
"Cardenas Tony (D-CA)","California","$178514"
"Perry Scott (R-PA)","Pennsylvania","$176200"
"Majette Denise L (D-GA)","Georgia","$175905"
"DeLauro Rosa (D-CT)","Connecticut","$175293"
"Meek Kendrick B (D-FL)","Florida","$174022"
"Goodlander Maggie (D-NH)","New Hampshire","$172646"
"Sanchez Linda (D-CA)","California","$171542"
"Mfume Kweisi (D-MD)","Maryland","$171000"
"Garbarino Andrew (R-NY)","New York","$170889"
"Diaz-Balart Lincoln (R-FL)","Florida","$169039"
"Chavez-Deremer Lori (R-OR)","Oregon","$167803"
"Shea-Porter Carol (D-NH)","New Hampshire","$167252"
"Mooney Alex (R-WV)","West Virginia","$166233"
"Chabot Steve (R-OH)","Ohio","$165881"
"Morelle Joseph D (D-NY)","New York","$165520"
"Jack Brian (R-GA)","Georgia","$165314"
"Bachmann Michele (R-MN)","Minnesota","$162223"
"Valadao David (R-CA)","California","$161828"
"Vasquez Gabe (D-NM)","New Mexico","$161033"
"Bost Mike (R-IL)","Illinois","$159793"
"Mcdonald Rivet Kristen (D-MI)","Michigan","$159654"
"Isakson Johnny (R-GA)","Georgia","$158900"
"Levine Mel (D-CA)","California","$158679"
"Williams Brandon (R-NY)","New York","$158536"
"Budd Ted (R-NC)","North Carolina","$158495"
"Rice Kathleen (D-NY)","New York","$158360"
"Capps Lois (D-CA)","California","$158035"
"Thanedar Shri (D-MI)","Michigan","$157647"
"Garrett Scott (R-NJ)","New Jersey","$156950"
"Maloney Sean Patrick (D-NY)","New York","$156806"
"Sestak Joe (D)","","$155430"
"Carnahan Russ (D-MO)","Missouri","$155301"
"Delgado Antonio (D-NY)","New York","$154919"
"Murphy Christopher S (D-CT)","Connecticut","$154153"
"Sanchez Loretta (D-CA)","California","$153921"
"Peters Scott (D-CA)","California","$153413"
"Skelton Ike (D-MO)","Missouri","$151649"
"Capito Shelley Moore (R-WV)","West Virginia","$150050"
"Cummings Elijah E (D-MD)","Maryland","$149000"
"Wilson Heather A (R-NM)","New Mexico","$148287"
"Langevin Jim (D-RI)","Rhode Island","$148216"
"Filner Bob (D-CA)","California","$147864"
"Newhouse Dan (R-WA)","Washington","$147208"
"Campbell Ben Nighthorse (R-CO)","Colorado","$146701"
"Braley Bruce (D-IA)","Iowa","$145808"
"Chambliss Saxby (R-GA)","Georgia","$145400"
"Owens Wayne (D-UT)","Utah","$145252"
"Swett Dick (D-NH)","New Hampshire","$145118"
"Hunt Wesley (R-TX)","Texas","$144850"
"Kaptur Marcy (D-OH)","Ohio","$144450"
"West Allen (R-FL)","Florida","$144030"
"Finkenauer Abby (D-IA)","Iowa","$143289"
"Strickland Ted (D-OH)","Ohio","$142635"
"Flake Jeff (R-AZ)","Arizona","$142200"
"Snowe Olympia (R-ME)","Maine","$142100"
"Womack Steve (R-AR)","Arkansas","$142030"
"Rodgers Cathy McMorris (R-WA)","Washington","$141943"
"Markey Ed (D-MA)","Massachusetts","$141671"
"Kirkpatrick Ann (D-AZ)","Arizona","$140737"
"Welch Peter (D-VT)","Vermont","$140458"
"Bilirakis Gus (R-FL)","Florida","$140160"
