"Representative","State","Amount"
"Rodriguez Ciro D (D-TX)","Texas","$63500"
"Pryce Deborah (R-OH)","Ohio","$63250"
"Schauer Mark (D-MI)","Michigan","$63148"
"McCurdy Dave (D-OK)","Oklahoma","$63042"
"Moore Blake (R-UT)","Utah","$62800"
"Carter Buddy (R-GA)","Georgia","$62701"
"Mann Tracey (R-KS)","Kansas","$62657"
"Franks Trent (R-AZ)","Arizona","$62400"
"Rehberg Denny (R-MT)","Montana","$62250"
"Hurd Will (R)","","$62023"
"Fischbach Michelle (R-MN)","Minnesota","$61575"
"Demings Val (D-FL)","Florida","$61572"
"Murphy Greg (R-NC)","North Carolina","$61408"
"Mullin Kevin (D-CA)","California","$61023"
"Cox TJ (D-CA)","California","$60959"
"Long Billy (R-MO)","Missouri","$60810"
"Glickman Daniel Robert (D-KS)","Kansas","$60564"
"Thompson Mike (D-CA)","California","$60350"
"Alexander Rodney (R-LA)","Louisiana","$60100"
"Vindman Yevgeny 'Eugene' (D-VA)","Virginia","$60000"
"Wu David (D-OR)","Oregon","$59977"
"Dean Madeleine (D-PA)","Pennsylvania","$59930"
"Biggert Judy (R-IL)","Illinois","$59777"
"Bachus Spencer (R-AL)","Alabama","$59450"
"Hamilton Lee H (D-IN)","Indiana","$59350"
"Dent Charlie (R-PA)","Pennsylvania","$59286"
"McCollum Betty (D-MN)","Minnesota","$59100"
"Thomas Craig (R-WY)","Wyoming","$59000"
"Jayapal Pramila (D-WA)","Washington","$58986"
"Kind Ron (D-WI)","Wisconsin","$58842"
"Reed Tom (R-NY)","New York","$58819"
"Murtha John P (D-PA)","Pennsylvania","$58800"
"Brown Hank (R-CO)","Colorado","$58750"
"Graham Gwen (D-FL)","Florida","$58636"
"Hirono Mazie K (D-HI)","Hawaii","$58575"
"Moran Nathaniel (R-TX)","Texas","$58400"
"Hultgren Randy (R-IL)","Illinois","$58300"
"Carr Bob (R-MI)","Michigan","$58042"
"Beyer Don (D-VA)","Virginia","$57841"
"Lowenthal Alan (D-CA)","California","$57746"
"Huffman Jared (D-CA)","California","$57685"
"Weldon Curt (R-PA)","Pennsylvania","$57550"
"Ferguson Mike (R-NJ)","New Jersey","$57375"
"Duffy Sean P (R-WI)","Wisconsin","$56950"
"Paxon Bill (R-NY)","New York","$56700"
"Perriello Tom (D-VA)","Virginia","$56616"
"Linder John (R-GA)","Georgia","$56400"
"Bice Stephanie (R-OK)","Oklahoma","$56224"
"Tiffany Tom (R-WI)","Wisconsin","$56062"
"Fitzpatrick Michael G (R-PA)","Pennsylvania","$55978"
"Rivas Luz (D-CA)","California","$55950"
"Hern Kevin (R-OK)","Oklahoma","$55879"
"Balderson Troy (R-OH)","Ohio","$55850"
"Fry Russell (R-SC)","South Carolina","$55532"
"McKeon Buck (R-CA)","California","$55400"
"Meijer Peter (R-MI)","Michigan","$55001"
"Beutler Jaime Herrera (R-WA)","Washington","$54893"
"Fox Jon D (R-PA)","Pennsylvania","$54500"
"Grayson Alan (D-FL)","Florida","$54412"
"Garcia Sylvia (D-TX)","Texas","$54410"
"Gibbs Bob (R-OH)","Ohio","$54300"
"Coburn Tom (R-OK)","Oklahoma","$54282"
"Scanlon Mary Gay (D-PA)","Pennsylvania","$54272"
"Kline John (R-MN)","Minnesota","$54200"
"Handel Karen (R-GA)","Georgia","$54010"
"Wenstrup Brad (R-OH)","Ohio","$53825"
"Doggett Lloyd (D-TX)","Texas","$53700"
"Rivera David (R-FL)","Florida","$53300"
"Rose John (R-TN)","Tennessee","$53288"
"Westerman Bruce (R-AR)","Arkansas","$53061"
"Duncan Jeff (R-SC)","South Carolina","$52950"
"Nolan Rick (D-MN)","Minnesota","$52654"
"Schiff Steven H (R-NM)","New Mexico","$52450"
"Ross Dennis (R-FL)","Florida","$52400"
"Jindal Bobby (R)","","$52308"
"Scott Austin (R-GA)","Georgia","$52200"
"Castle Michael N (R-DE)","Delaware","$52050"
"Coffman Mike (R-CO)","Colorado","$51950"
"Duarte John (R-CA)","California","$51843"
"Estes Ron (R-KS)","Kansas","$51725"
"Grams Rod (R-MN)","Minnesota","$51650"
"Figures Shomari (D-AL)","Alabama","$51300"
"Edwards Chuck (R-NC)","North Carolina","$51185"
"Bean Aaron (R-FL)","Florida","$50879"
"Velazquez Nydia (D-NY)","New York","$50762"
"Rutherford John (R-FL)","Florida","$50754"
"Stansbury Melanie (D-NM)","New Mexico","$50567"
"Culberson John (R-TX)","Texas","$50494"
"Ferguson Drew (R-GA)","Georgia","$50200"
"Gallegly Elton (R-CA)","California","$50174"
"McCarthy Carolyn (D-NY)","New York","$50168"
"Arrington Jodey (R-TX)","Texas","$50058"
"Melancon Charles (D-LA)","Louisiana","$49950"
"Franklin Scott (R-FL)","Florida","$49750"
"Enyart William (D-IL)","Illinois","$49736"
"Fong Vince (R-CA)","California","$49650"
"Shimkus John (R-IL)","Illinois","$49650"
"Denham Jeff (R-CA)","California","$49545"
"Mitchell Harry (D-AZ)","Arizona","$49524"
"Latta Bob (R-OH)","Ohio","$49435"
"Price Tom (R-GA)","Georgia","$49403"
"Luttrell Morgan (R-TX)","Texas","$49225"
"Adler John H (D-NJ)","New Jersey","$49224"
"Boyd Allen (D-FL)","Florida","$49186"
"Wagner Ann (R-MO)","Missouri","$49157"
"Davis Susan (D-CA)","California","$48963"
"Murphy Scott (D-NY)","New York","$48851"
"Barrett Tom (R-MI)","Michigan","$48833"
"Blagojevich Rod (D-IL)","Illinois","$48800"
"Perlmutter Ed (D-CO)","Colorado","$48798"
"Forbes Michael P (D-NY)","New York","$48600"
"Mills Cory (R-FL)","Florida","$48550"
"Hill Baron (D-IN)","Indiana","$48525"
"McCormick Richard (R-GA)","Georgia","$48500"
"Slaughter Louise M (D-NY)","New York","$48366"
"Matheson Jim (D-UT)","Utah","$48350"
"Space Zack (D-OH)","Ohio","$48224"
"Wilson Frederica (D-FL)","Florida","$48150"
"Boswell Leonard (D-IA)","Iowa","$48149"
"Dunn Neal (R-FL)","Florida","$47938"
"Jackson Lee Sheila (D-TX)","Texas","$47900"
"Margolies Marjorie (D-PA)","Pennsylvania","$47890"
"Kagen Steve (D-WI)","Wisconsin","$47654"
"McGuire John (R-VA)","Virginia","$47650"
"Reichert Dave (R-WA)","Washington","$47330"
"Trahan Lori (D-MA)","Massachusetts","$47188"
"Carey Mike (R-OH)","Ohio","$47000"
"Chandler Ben (D-KY)","Kentucky","$46960"
"Tauscher Ellen (D-CA)","California","$46750"
"Pence Greg (R-IN)","Indiana","$46700"
"Biggs Andy (R-AZ)","Arizona","$46250"
"Kamlager Sydney (D-CA)","California","$46110"
"McClintock Tom (R-CA)","California","$45859"
"Lawson Al (D-FL)","Florida","$45703"
"Baesler Scotty (D-KY)","Kentucky","$45700"
"Salmon Matt (R-AZ)","Arizona","$45650"
"Allen Richard W (R-GA)","Georgia","$45550"
"Davis Tom (R-VA)","Virginia","$45550"
"Esty Elizabeth (D-CT)","Connecticut","$45458"
"Kingston Jack (R-GA)","Georgia","$45318"
"Small Xochitl Torres (D-NM)","New Mexico","$45226"
"Matsui Doris (D-CA)","California","$45220"
"Simmons Rob (R-CT)","Connecticut","$44965"
"Donovan Dan (R-NY)","New York","$44920"
"Davis Geoff (R-KY)","Kentucky","$44811"
"Subramanyam Suhas (D-VA)","Virginia","$44750"
"Roy Chip (R-TX)","Texas","$44479"
"Moore Dennis (D-KS)","Kansas","$44476"
"Weber Vin (R-MN)","Minnesota","$44450"
"McClain Lisa (R-MI)","Michigan","$44434"
"Hageman Harriet (R-WY)","Wyoming","$44350"
"Kennedy Timothy (D-NY)","New York","$44250"
"Strong Dale (R-AL)","Alabama","$44224"
"Renzi Rick (R-AZ)","Arizona","$43874"
"Johnson Julie (D-TX)","Texas","$43810"
"Everett Terry (R-AL)","Alabama","$43750"
"Liccardo Sam T. (D-CA)","California","$43399"
"Larson John (D-CT)","Connecticut","$43350"
"Schaffer Bob (R-CO)","Colorado","$43300"
"Frelinghuysen Rodney (R-NJ)","New Jersey","$43250"
"Kostmayer Peter H (D-PA)","Pennsylvania","$42900"
"DeFazio Peter (D-OR)","Oregon","$42815"
"Case Ed (D-HI)","Hawaii","$42750"
"Ellison Keith (D-MN)","Minnesota","$42642"
"Stupak Bart (D-MI)","Michigan","$42500"
"Moore Riley (R-WV)","West Virginia","$42300"
"McCrery Jim (R-LA)","Louisiana","$42200"
"Stearns Cliff (R-FL)","Florida","$42050"
"Pou Nelida (D-NJ)","New Jersey","$41786"
"Gooden Lance (R-TX)","Texas","$41650"
"Stutzman Marlin (R-IN)","Indiana","$41500"
"Johnson Dusty (R-SD)","South Dakota","$41396"
"Stivers Steve (R-OH)","Ohio","$41361"
"Walsh Joe (R)","","$41350"
"Messer Luke (R-IN)","Indiana","$41200"
"Franks Bob (R-NJ)","New Jersey","$41150"
"Doyle Mike (D-PA)","Pennsylvania","$41050"
"Delaney April (D-MD)","Maryland","$40900"
"Nugent Richard (R-FL)","Florida","$40850"
"Torres Norma (D-CA)","California","$40555"
"Payne Donald M (D-NJ)","New Jersey","$40550"
"Cooper Jim (D-TN)","Tennessee","$40350"
"Pocan Mark (D-WI)","Wisconsin","$40312"
"Brown Anthony (D-MD)","Maryland","$40310"
"Inslee Jay (D)","","$40290"
"Williams Roger (R-TX)","Texas","$40241"
"Costello Ryan (R-PA)","Pennsylvania","$40100"
"Hunter Duncan (R)","","$40000"
"Gabbard Tulsi (D-HI)","Hawaii","$39950"
"Hoagland Peter (D-NE)","Nebraska","$39600"
"Visclosky Pete (D-IN)","Indiana","$39600"
"Renacci Jim (R-OH)","Ohio","$39478"
"Santos George (R-NY)","New York","$39350"
"Holding George (R-NC)","North Carolina","$39285"
"Gordon Bart (D-TN)","Tennessee","$39250"
"Woolsey Lynn (D-CA)","California","$39250"
"Towns Edolphus (D-NY)","New York","$39150"
"Carl Jerry (R-AL)","Alabama","$39149"
"Feenstra Randy (R-IA)","Iowa","$39063"
"O'Halleran Tom (D-AZ)","Arizona","$38850"
"Keating Bill (D-MA)","Massachusetts","$38745"
"Haridopolos Mike (R-FL)","Florida","$38728"
"Guest Michael (R-MS)","Mississippi","$38700"
"Boccieri John A (D-OH)","Ohio","$38627"
"Shadegg John (R-AZ)","Arizona","$38550"
"Wolpe Howard E (D-MI)","Michigan","$38550"
"Fleischmann Chuck (R-TN)","Tennessee","$38450"
"Hare Phil (D-IL)","Illinois","$38424"
"Chu Judy (D-CA)","California","$38016"
"Markey Betsy (D-CO)","Colorado","$37925"
"Dingell Debbie (D-MI)","Michigan","$37860"
"Bilbray James H (D-NV)","Nevada","$37750"
"Walters Mimi (R-CA)","California","$37550"
"Escobar Veronica (D-TX)","Texas","$37514"
"Johnson Bill (R-OH)","Ohio","$37450"
"Posey Bill (R-FL)","Florida","$37250"
"Tiahrt Todd (R-KS)","Kansas","$37234"
"Peterson Collin (D-MN)","Minnesota","$37050"
"LaMalfa Doug (R-CA)","California","$36972"
"Wheat Alan (D-MO)","Missouri","$36901"
"Mahoney Tim (D-FL)","Florida","$36894"
"McEachin Donald (D-VA)","Virginia","$36750"
"Armey Dick (R-TX)","Texas","$36650"
"Riley Josh (D-NY)","New York","$36645"
"Nagle David R (D-IA)","Iowa","$36602"
"Miller Jeff (R-FL)","Florida","$36350"
"Laturner Jake (R-KS)","Kansas","$36280"
"Michaud Mike (D-ME)","Maine","$36250"
"Amodei Mark (R-NV)","Nevada","$35950"
"Hobson Dave (R-OH)","Ohio","$35950"
"Schmidt Derek (R-KS)","Kansas","$35950"
"Lawrence Brenda (D-MI)","Michigan","$35704"
"Turner Sylvester (D-TX)","Texas","$35650"
"Lampson Nick (D-TX)","Texas","$35605"
"Kasich John (R)","","$35500"
"Porter Jon (R-NV)","Nevada","$35450"
"Bass Charles (R-NH)","New Hampshire","$35350"
"Knight Steve (R-CA)","California","$35180"
"Weygand Bob (D-RI)","Rhode Island","$35005"
"Owens Major R (D-NY)","New York","$34975"
"Nickel Wiley (D-NC)","North Carolina","$34958"
"Richmond Cedric (D-LA)","Louisiana","$34926"
"Kelly Sue (R-NY)","New York","$34400"
"Bono Mack Mary (R-CA)","California","$34390"
"Harris Katherine (R-FL)","Florida","$34300"
"Wilson Charles (D-TX)","Texas","$34200"
"Ansari Yassamin (D-AZ)","Arizona","$34060"
"Brown-Waite Ginny (R-FL)","Florida","$34050"
"Cloud Michael (R-TX)","Texas","$34001"
"Dingell John D (D-MI)","Michigan","$34000"
"Goodlatte Bob (R-VA)","Virginia","$33950"
"Miller Carol (R-WV)","West Virginia","$33650"
"Griffith Morgan (R-VA)","Virginia","$33550"
"Sununu John E (R-NH)","New Hampshire","$33550"
"Yoho Ted (R-FL)","Florida","$33500"
"Alford Mark (R-MO)","Missouri","$33458"
"Simpson Mike (R-ID)","Idaho","$33400"
"Roby Martha (R-AL)","Alabama","$33200"
"Gray Adam (D-CA)","California","$33019"
"Cline Ben (R-VA)","Virginia","$33001"
"Babin Brian (R-TX)","Texas","$32800"
"Poe Ted (R-TX)","Texas","$32750"
"Rivers Lynn N (D-MI)","Michigan","$32653"
"Carson Andre (D-IN)","Indiana","$32569"
"Horn Kendra (D-OK)","Oklahoma","$32567"
"Hinchey Maurice (D-NY)","New York","$32522"
"Hayworth J D (R-AZ)","Arizona","$32300"
"Franks Gary A (R-CT)","Connecticut","$32250"
"Ashford Brad (D-NE)","Nebraska","$31950"
"Flood Mike (R-NE)","Nebraska","$31858"
"Green Gene (D-TX)","Texas","$31800"
"Correa Lou (D-CA)","California","$31606"
"Bowman Jamaal (D-NY)","New York","$31502"
"Baker Richard (R-LA)","Louisiana","$31500"
"Rothfus Keith J (R-PA)","Pennsylvania","$31450"
"Yates Sidney R (D-IL)","Illinois","$31450"
"Kihuen Ruben (D-NV)","Nevada","$31314"
"Becerra Xavier (D-CA)","California","$31276"
"Altmire Jason (D-PA)","Pennsylvania","$31200"
"Morella Connie (R-MD)","Maryland","$31200"
"Sarbanes John (D-MD)","Maryland","$30600"
"Kopetski Mike (D-OR)","Oregon","$30500"
"Gosar Paul (R-AZ)","Arizona","$30475"
"Salazar John (D-CO)","Colorado","$30400"
"Fitzgerald Scott (R-WI)","Wisconsin","$30350"
"Lungren Dan (R-CA)","California","$30250"
"Chocola Chris (R-IN)","Indiana","$30200"
"Miller John (R-WA)","Washington","$30190"
"Schrader Kurt (D-OR)","Oregon","$29883"
"Evans Dwight (D-PA)","Pennsylvania","$29750"
"Graves Sam (R-MO)","Missouri","$29750"
"Carter John (R-TX)","Texas","$29650"
"Jones Ben (D-VA)","Virginia","$29650"
"Blum Rod (R-IA)","Iowa","$29594"
"Brecheen Josh (R-OK)","Oklahoma","$29500"
"Browder Glen (D-AL)","Alabama","$29500"
"Jones Stephanie Tubbs (D-OH)","Ohio","$29500"
"Self Keith (R-TX)","Texas","$29467"
"Molinari Susan (R-NY)","New York","$29400"
"Flores Mayra (R-TX)","Texas","$28979"
"Desjarlais Scott (R-TN)","Tennessee","$28900"
"Johnson Eddie Bernice (D-TX)","Texas","$28700"
"Luna Anna Paulina (R-FL)","Florida","$28691"
"Obernolte Jay (R-CA)","California","$28672"
"Gillen Laura (D-NY)","New York","$28557"
"Balint Becca (D-VT)","Vermont","$28551"
"Tipton Scott (R-CO)","Colorado","$28329"
"Kildee Dale E (D-MI)","Michigan","$28100"
"Upton Fred (R-MI)","Michigan","$27910"
"Rooney Tom (R-FL)","Florida","$27850"
"Byrne Bradley (R-AL)","Alabama","$27700"
"Erdreich Ben (D-AL)","Alabama","$27700"
"Laughlin Greg (R-TX)","Texas","$27700"
"Bresnahan Rob (R-PA)","Pennsylvania","$27608"
"Unsoeld Jolene (D-WA)","Washington","$27554"
"Capuano Michael E (D-MA)","Massachusetts","$27500"
"Fallon Patrick (R-TX)","Texas","$27461"
"Bentsen Ken (D-TX)","Texas","$27426"
"Frank Barney (D-MA)","Massachusetts","$27324"
"Allen Tom H (D-ME)","Maine","$27250"
"Sweeney John E (R-NY)","New York","$27250"
"Cazayoux Don (D-LA)","Louisiana","$27000"
"Phillips Dean (D)","","$26975"
"Cardoza Dennis (D-CA)","California","$26950"
"Rouzer David (R-NC)","North Carolina","$26918"
"Marshall Jim (D-GA)","Georgia","$26900"
"Kennedy Joseph P II (D-MA)","Massachusetts","$26600"
"Coleman Ronald D (D-TX)","Texas","$26550"
"Harris Mark (R-NC)","North Carolina","$26450"
"Lummis Cynthia (R-WY)","Wyoming","$26450"
"Hoekstra Peter (R-MI)","Michigan","$26250"
"Gill Brandon (R-TX)","Texas","$26208"
"Bishop Rob (R-UT)","Utah","$26150"
"Bucshon Larry (R-IN)","Indiana","$26000"
"Conyers John Jr (D-MI)","Michigan","$26000"
"Smith Adrian (R-NE)","Nebraska","$25958"
"Gonzalez Charlie A (D-TX)","Texas","$25900"
"Ogles Andy (R-TN)","Tennessee","$25858"
"Mackenzie Ryan (R-PA)","Pennsylvania","$25820"
"Green Al (D-TX)","Texas","$25750"
"Watts J C Jr (R-OK)","Oklahoma","$25750"
"Conaway Herb (D-NJ)","New Jersey","$25601"
"Dicks Norm (D-WA)","Washington","$25575"
"Putnam Adam H (R-FL)","Florida","$25550"
"Harshbarger Diana (R-TN)","Tennessee","$25334"
"Randall Emily (D-WA)","Washington","$25100"
"Mcdowell Addison (R-NC)","North Carolina","$25000"
"Pastor Ed (D-AZ)","Arizona","$24950"
"Haaland Debra (D-NM)","New Mexico","$24912"
"Barca Peter William (D-WI)","Wisconsin","$24750"
"Kelly Trent (R-MS)","Mississippi","$24653"
"Whitesides George (D-CA)","California","$24546"
"Nethercutt George R Jr (R-WA)","Washington","$24537"
"Castro Joaquin (D-TX)","Texas","$24412"
"Machtley Ronald Keith (R-RI)","Rhode Island","$24400"
"Adams Alma (D-NC)","North Carolina","$24264"
"Gohmert Louis B Jr (R-TX)","Texas","$24250"
"Lightfoot Jim (R-IA)","Iowa","$24200"
"Drake Thelma (R-VA)","Virginia","$24100"
"Higgins Brian M (D-NY)","New York","$24100"
"Matsui Robert T (D-CA)","California","$24050"
"Johnson Timothy (R-IL)","Illinois","$23900"
"McCotter Thaddeus G (R)","","$23850"
"Johnston Harry A (D-FL)","Florida","$23800"
"Brown Corrine (D-FL)","Florida","$23750"
"Smith Peter (R-VT)","Vermont","$23750"
"Gallego Pete (D-TX)","Texas","$23650"
"Foley Mark (R-FL)","Florida","$23500"
"Palazzo Steven (R-MS)","Mississippi","$23500"
"Clay William L Jr (D-MO)","Missouri","$23492"
"Butterfield G K (D-NC)","North Carolina","$23450"
"Downing Troy (R-MT)","Montana","$23450"
"Houchin Erin (R-IN)","Indiana","$23400"
"Burchett Tim (R-TN)","Tennessee","$23361"
"Cao Joseph (R-LA)","Louisiana","$23339"
"McMillen Tom (D-MD)","Maryland","$23300"
"Hahn Janice (D-CA)","California","$23000"
"Livingston Robert L (R-LA)","Louisiana","$23000"
"Bright Bobby (R-AL)","Alabama","$22650"
"Garcia Jesus (D-IL)","Illinois","$22410"
"Dreier David (R-CA)","California","$22400"
"Bishop Timothy H (D-NY)","New York","$22300"
"Stauber Pete (R-MN)","Minnesota","$22250"
"Desaulnier Mark (D-CA)","California","$22150"
"Grisham Michelle Lujan (D-NM)","New Mexico","$22100"
"Regula Ralph (R-OH)","Ohio","$22000"
"Luther Bill (D-MN)","Minnesota","$21913"
"Dahlkemper Kathy (D-PA)","Pennsylvania","$21850"
"Miller Brad (D-NC)","North Carolina","$21850"
"Guthrie Brett (R-KY)","Kentucky","$21800"
"Skaggs David E (D-CO)","Colorado","$21650"
"Miller George (D-CA)","California","$21550"
"Crawford Rick (R-AR)","Arkansas","$21400"
"Ezell Mike (R-MS)","Mississippi","$21301"
"Bacchus James L (D-FL)","Florida","$21300"
"Smith Larry (D-FL)","Florida","$21267"
"Olver John W (D-MA)","Massachusetts","$21250"
"Bonilla Henry (R-TX)","Texas","$21100"
"Bishop Dan (R-NC)","North Carolina","$21075"
"Cunningham Randy (Duke) (R-CA)","California","$21050"
"Olson Pete (R-TX)","Texas","$21050"
"Schmidt Jean (R-OH)","Ohio","$21050"
"Manzullo Don (R-IL)","Illinois","$21000"
"Jackson Jonathan (D-IL)","Illinois","$20800"
"Massa Eric (D-NY)","New York","$20720"
"LaRocco Larry (D-ID)","Idaho","$20600"
"Taylor David (R-OH)","Ohio","$20500"
"Kucinich Dennis (I-OH)","Ohio","$20450"
"Harper Gregg (R-MS)","Mississippi","$20250"
"Meek Carrie (D-FL)","Florida","$20250"
"Pearce Steve (R-NM)","New Mexico","$20250"
"Edwards Mickey (R-OK)","Oklahoma","$20200"
"Boebert Lauren (R-CO)","Colorado","$20064"
"Hooley Darlene (D-OR)","Oregon","$20021"
"Fletcher Ernie (R-KY)","Kentucky","$20000"
"Espy Mike (D-MS)","Mississippi","$19988"
"McAdams Ben (D-UT)","Utah","$19860"
"Sherwood Don (R-PA)","Pennsylvania","$19750"
"Thompson Glenn (R-PA)","Pennsylvania","$19650"
"Farr Sam (D-CA)","California","$19500"
"McIntosh David M (R-IN)","Indiana","$19500"
"Russell Steven (R-OK)","Oklahoma","$19500"
"Minnick Walt (D-ID)","Idaho","$19450"
"McDermott Jim (D-WA)","Washington","$19400"
"Emerson Jo Ann (R-MO)","Missouri","$19350"
"Higgins Clay (R-LA)","Louisiana","$19350"
"Murphy Stephanie (D-FL)","Florida","$19315"
"Harrigan Pat (R-NC)","North Carolina","$19250"
"Hall John (D-NY)","New York","$19200"
"Baird Jim (R-IN)","Indiana","$19000"
"Jenkins Lynn (R-KS)","Kansas","$18900"
"Luetkemeyer Blaine (R-MO)","Missouri","$18782"
"Chandler Rod (R-WA)","Washington","$18750"
"Crenshaw Ander (R-FL)","Florida","$18750"
"Sisisky Norman (D-VA)","Virginia","$18750"
"Polis Jared (D-CO)","Colorado","$18700"
"Brooks Mo (R-AL)","Alabama","$18600"
"Parker Mike (R-MS)","Mississippi","$18600"
"Hochbrueckner George J (D-NY)","New York","$18550"
"Sawyer Tom (D-OH)","Ohio","$18530"
"Clarke James McClure (D-NC)","North Carolina","$18487"
"Brady Robert A (D-PA)","Pennsylvania","$18400"
"Crank Jeffrey G (R-CO)","Colorado","$18100"
"Hayworth Nan (R-NY)","New York","$18100"
"Serrano Jose E (D-NY)","New York","$17950"
"Herseth Sandlin Stephanie (D-SD)","South Dakota","$17750"
"Callahan Sonny (R-AL)","Alabama","$17500"
"Poliquin Bruce (R-ME)","Maine","$17500"
"Solarz Stephen J (D-NY)","New York","$17350"
"Buerkle Ann Marie (R-NY)","New York","$17250"
"Jackson Jeff (D-NC)","North Carolina","$17200"
"Coppersmith Samuel G (D-AZ)","Arizona","$17154"
"Foley Thomas S (D-WA)","Washington","$17000"
"Jefferson William J (D-LA)","Louisiana","$17000"
"Mica John L (R-FL)","Florida","$17000"
"Rush Bobby (D-IL)","Illinois","$16725"
"Nehls Troy (R-TX)","Texas","$16600"
"Whitfield Ed (R-KY)","Kentucky","$16500"
"Hagedorn Jim (R-MN)","Minnesota","$16429"
"Brown George E Jr (D-CA)","California","$16300"
"Friedman Laura (D-CA)","California","$16250"
"Green Bill (R-NY)","New York","$16250"
"King Steven A (R-IA)","Iowa","$16250"
"Payne Donald M Jr (D-NJ)","New Jersey","$16250"
"Stokes Louis (D-OH)","Ohio","$16250"
"Finstad Brad (R-MN)","Minnesota","$16000"
"Riley Bob (R-AL)","Alabama","$16000"
"Ross Mike (D-AR)","Arkansas","$16000"
"Dooley Cal (D-CA)","California","$15937"
"Fulcher Russ (R-ID)","Idaho","$15900"
"Noem Kristi (R-SD)","South Dakota","$15900"
"Pomeroy Earl (D-ND)","North Dakota","$15900"
"Gray William H III (D-PA)","Pennsylvania","$15750"
"McCarthy Karen (D-MO)","Missouri","$15750"
"Ramstad Jim (R-MN)","Minnesota","$15716"
"Adams Sandy (R-FL)","Florida","$15650"
"Evans Gabe (R-CO)","Colorado","$15622"
"McCloskey Frank (D-IN)","Indiana","$15600"
"Kratovil Frank (D-MD)","Maryland","$15550"
"Saiki Patricia Fukuda (R-HI)","Hawaii","$15500"
"Walz Tim (D-MN)","Minnesota","$15500"
"Kilpatrick Carolyn Cheeks (D-MI)","Michigan","$15450"
"Rohrabacher Dana (R-CA)","California","$15400"
"Bunn Jim (R-OR)","Oregon","$15350"
"Kosmas Suzanne (D-FL)","Florida","$15350"
"Onder Robert Frank Jr (R-MO)","Missouri","$15350"
"McHugh John M (R-NY)","New York","$15300"
"AuCoin Les (D-OR)","Oregon","$15250"
"Baird Brian (D-WA)","Washington","$15231"
"Watson Diane E (D-CA)","California","$15150"
"Nussle Jim (R-IA)","Iowa","$15000"
"Foglietta Thomas M (D-PA)","Pennsylvania","$14950"
"Mrazek Robert J (D-NY)","New York","$14950"
"Sikorski Gerry (D-MN)","Minnesota","$14850"
"Burlison Eric (R-MO)","Missouri","$14750"
"Grucci Felix J Jr (R-NY)","New York","$14750"
"Jenkins Evan (R-WV)","West Virginia","$14750"
"Landry Jeff (R-LA)","Louisiana","$14750"
"Stewart Chris (R-UT)","Utah","$14750"
"Bynum Janelle (D-OR)","Oregon","$14713"
"Collins Doug (R-GA)","Georgia","$14600"
"Moody Jim (D-WI)","Wisconsin","$14600"
"Quayle Ben (R-AZ)","Arizona","$14600"
"Taylor Charles H (R-NC)","North Carolina","$14500"
"Young Don (R-AK)","Alaska","$14429"
"Abraham Ralph (R-LA)","Louisiana","$14400"
"Beauprez Bob (R-CO)","Colorado","$14374"
"Musgrave Marilyn (R-CO)","Colorado","$14350"
"Rulli Michael (R-OH)","Ohio","$14300"
"Carney Chris (D-PA)","Pennsylvania","$14250"
"Arcuri Mike (D-NY)","New York","$14224"
"Downey Thomas J (D-NY)","New York","$14200"
"Tsongas Niki (D-MA)","Massachusetts","$14200"
"Bilirakis Michael (R-FL)","Florida","$14117"
"Rice Tom (R-SC)","South Carolina","$14100"
"McInnis Scott (R-CO)","Colorado","$14000"
"Annunzio Frank (D-IL)","Illinois","$13750"
"Ramirez Delia (D-IL)","Illinois","$13625"
"Lancaster Harold Martin (D-NC)","North Carolina","$13600"
"Schenk Lynn (D-CA)","California","$13520"
"Hilliard Earl F (D-AL)","Alabama","$13500"
"Radel Trey (R-FL)","Florida","$13500"
"Moore Barry (R-AL)","Alabama","$13400"
"Nunes Devin (R-CA)","California","$13350"
"Kennedy Mike (R-UT)","Utah","$13300"
"Andrews Thomas H (D-ME)","Maine","$13250"
"Dixon Julian C (D-CA)","California","$13250"
"Djou Charles (R-HI)","Hawaii","$13250"
"Barletta Lou (R-PA)","Pennsylvania","$13100"
"Bell Chris (D-TX)","Texas","$13000"
"Jones Walter B Jr (R-NC)","North Carolina","$13000"
"Roybal-Allard Lucille (D-CA)","California","$13000"
"Campbell Tom (R-CA)","California","$12850"
"Bilbray Brian P (R-CA)","California","$12800"
"Reynolds Tom (R-NY)","New York","$12750"
"Rogan James E (R-CA)","California","$12750"
"Schilling Bobby (R-IL)","Illinois","$12700"
"Min Dave (D-CA)","California","$12650"
"Ribble Reid (R-WI)","Wisconsin","$12600"
"Feeney Tom (R-FL)","Florida","$12550"
"Moore Tim (R-NC)","North Carolina","$12500"
"Tokuda Jill (D-HI)","Hawaii","$12500"
"Critz Mark (D-PA)","Pennsylvania","$12454"
"Feighan Edward F (D-OH)","Ohio","$12450"
"Pompeo Mike (R-KS)","Kansas","$12450"
"Souder Mark E (R-IN)","Indiana","$12450"
"Napolitano Grace (D-CA)","California","$12400"
"Thurman Karen L (D-FL)","Florida","$12350"
"Shreve Jefferson (R-IN)","Indiana","$12300"
"Scott Bobby (D-VA)","Virginia","$12250"
"Sodrel Mike (R-IN)","Indiana","$12191"
"Heck Dennis (D-WA)","Washington","$12150"
"Horn Joan Kelly (D-MO)","Missouri","$12150"
